constructorId,constructorRef,name,nationality,url,color
1,"mclaren","McLaren","British","http://en.wikipedia.org/wiki/McLaren","#FF9800"
2,"bmw_sauber","BMW Sauber","German","http://en.wikipedia.org/wiki/BMW_Sauber","#0066CC"
3,"williams","Williams","British","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering","#00A3E0"
4,"renault","Renault","French","http://en.wikipedia.org/wiki/Renault_in_Formula_One","#FFD800"
5,"toro_rosso","Toro Rosso","Italian","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso","#469BFF"
6,"ferrari","Ferrari","Italian","http://en.wikipedia.org/wiki/Scuderia_Ferrari","#DC0000"
7,"toyota","Toyota","Japanese","http://en.wikipedia.org/wiki/Toyota_Racing","#FFFFFF"
8,"super_aguri","Super Aguri","Japanese","http://en.wikipedia.org/wiki/Super_Aguri_F1","#FF0000"
9,"red_bull","Red Bull","Austrian","http://en.wikipedia.org/wiki/Red_Bull_Racing","#0600EF"
10,"force_india","Force India","Indian","http://en.wikipedia.org/wiki/Racing_Point_Force_India","#FF80C7"
11,"honda","Honda","Japanese","http://en.wikipedia.org/wiki/Honda_Racing_F1","#006F62"
12,"spyker","Spyker","Dutch","http://en.wikipedia.org/wiki/Spyker_F1","#FF9E1B"
13,"mf1","MF1","Russian","http://en.wikipedia.org/wiki/Midland_F1_Racing","#000000"
14,"spyker_mf1","Spyker MF1","Dutch","http://en.wikipedia.org/wiki/Midland_F1_Racing","#FF9E1B"
15,"sauber","Sauber","Swiss","http://en.wikipedia.org/wiki/Sauber_Motorsport","#006EFF"
16,"bar","BAR","British","http://en.wikipedia.org/wiki/British_American_Racing","#0033CC"
17,"jordan","Jordan","Irish","http://en.wikipedia.org/wiki/Jordan_Grand_Prix","#FFD700"
18,"minardi","Minardi","Italian","http://en.wikipedia.org/wiki/Minardi","#FF0000"
19,"jaguar","Jaguar","British","http://en.wikipedia.org/wiki/Jaguar_Racing","#006F62"
20,"prost","Prost","French","http://en.wikipedia.org/wiki/Prost_Grand_Prix","#FFFFFF"
21,"arrows","Arrows","British","http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International","#FF0000"
22,"benetton","Benetton","Italian","http://en.wikipedia.org/wiki/Benetton_Formula","#0066CC"
23,"brawn","Brawn","British","http://en.wikipedia.org/wiki/Brawn_GP","#FF7F00"
24,"stewart","Stewart","British","http://en.wikipedia.org/wiki/Stewart_Grand_Prix","#FFFFFF"
25,"tyrrell","Tyrrell","British","http://en.wikipedia.org/wiki/Tyrrell_Racing","#0033CC"
26,"lola","Lola","British","http://en.wikipedia.org/wiki/MasterCard_Lola","#FF0000"
27,"ligier","Ligier","French","http://en.wikipedia.org/wiki/Ligier","#0000FF"
28,"forti","Forti","Italian","http://en.wikipedia.org/wiki/Forti","#FF0000"
29,"footwork","Footwork","British","http://en.wikipedia.org/wiki/Footwork_Arrows","#0000FF"
30,"pacific","Pacific","British","http://en.wikipedia.org/wiki/Pacific_Racing","#000000"
31,"simtek","Simtek","British","http://en.wikipedia.org/wiki/Simtek","#000000"
32,"team_lotus","Team Lotus","British","http://en.wikipedia.org/wiki/Team_Lotus","#FFD700"
33,"larrousse","Larrousse","French","http://en.wikipedia.org/wiki/Larrousse","#FF0000"
34,"brabham","Brabham","British","http://en.wikipedia.org/wiki/Brabham","#0033CC"
35,"dallara","Dallara","Italian","http://en.wikipedia.org/wiki/Dallara","#FF0000"
36,"fondmetal","Fondmetal","Italian","http://en.wikipedia.org/wiki/Fondmetal","#FF0000"
37,"march","March","British","http://en.wikipedia.org/wiki/March_Engineering","#FFFFFF"
